,url,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
24,https://www.theguardian.com/politics/2018/sep/20/may-fighting-on-all-fronts-after-salzburg-embarrassment,953,0.087,0.793,0.12,0.9907,0.18543793103448275,0.9816547355238548,0.9699710012263607,0.9172276925445231,0.8521045791476074,0.8156796771247226
25,https://www.theguardian.com/politics/2018/sep/15/labour-conference-will-vote-to-reselect-all-mps-chris-williamson-deselection-easier,847,0.053,0.792,0.155,0.9983,0.33131923076923075,0.9966086406260192,0.994366809806604,0.9833802514912318,0.9675625279212171,0.9574318027662807
26,https://www.theguardian.com/politics/2018/sep/22/tories-seek-new-avenues-after-salzburg-dead-end,1682,0.089,0.827,0.084,-0.9084,-0.061549090909090914,-0.83809531274306,-0.7655842053007791,-0.5662825573675317,-0.43698439559495816,-0.38780957284671713
27,https://www.theguardian.com/politics/2016/sep/24/corbyn-pledge-on-grassroots-after-leadership-win,1040,0.029,0.808,0.163,0.9992,0.4566216216216216,0.9984019169331112,0.9973407748687516,0.9920853536662452,0.9843557057198375,0.9793018638122516
20,https://www.theguardian.com/politics/2018/sep/21/european-press-no-more-forgiving-than-british-over-salzburg-summit-theresa-may,775,0.109,0.808,0.084,-0.9747,-0.07303333333333334,-0.9512279606710093,-0.9224171758317603,-0.8095450197590508,-0.6981335336838435,-0.6451848879365194
21,https://www.theguardian.com/politics/2018/sep/20/macron-puts-the-boot-in-after-mays-brexit-breakfast-blunder,976,0.092,0.813,0.095,0.136,0.0019611111111111014,0.09661430446238167,0.0749772216701773,0.04336946375804646,0.03068127249439182,0.026573888469186274
22,https://www.theguardian.com/politics/2018/sep/21/emmanuel-macron-theresa-may-brexit-populism-uk,835,0.087,0.785,0.128,0.9908,0.05971111111111111,0.9818493356769511,0.9702839497418726,0.9180222096252022,0.8533798150515362,0.8171718731808955
23,https://www.theguardian.com/politics/2018/sep/21/irish-government-presses-theresa-may-for-fresh-border-proposals-brexit,598,0.037,0.88,0.084,0.9782,0.11126666666666667,0.9577662549239,0.9324124897778855,0.830259222504457,0.7252155228145803,0.6739208740609852
28,https://www.theguardian.com/politics/2017/sep/25/john-mcdonnell-labour-members-didnt-want-to-split-party-on-brexit,1132,0.05,0.839,0.112,0.9977,0.14960285714285715,0.9954157973460723,0.9923944567350921,0.9776898649296786,0.9568092826681929,0.943609911481162
29,https://www.theguardian.com/politics/2018/sep/03/momentum-calls-for-more-open-labour-selection-process,385,0.031,0.814,0.155,0.9931,0.38145,0.9863408868639363,0.9775397496973164,0.9368152958969176,0.8842693545191107,0.8537832156889887
1,https://www.theguardian.com/politics/2018/sep/22/tom-watson-corbyn-members-brexit-vote-second-referendum-labour-party-poll,946,0.047,0.848,0.105,0.9926,0.2895074074074074,0.9853618855496996,0.9759528749400321,0.9326430279737065,0.8772880607412348,0.8454287333135161
3,https://www.theguardian.com/politics/2018/sep/22/dont-mistake-british-politeness-for-weakness-jeremy-hunt-tells-eu,580,0.113,0.797,0.091,-0.9034,-0.12764999999999999,-0.8302872419082394,-0.7557183475395864,-0.5544506236508943,-0.4261747311124308,-0.37775396248906523
2,https://www.theguardian.com/politics/2018/sep/22/corbyn-under-pressure-from-labour-members-over-brexit,864,0.078,0.788,0.134,0.9928,0.2159322580645161,0.9857533135900503,0.9765869845437636,0.9343059911752021,0.8800619465967764,0.8487425103083485
5,https://www.theguardian.com/politics/2018/sep/22/dawn-butler-sparks-militant-controversy-at-labour-conference,698,0.079,0.831,0.09,0.8782,-0.08685714285714287,0.7922441827270966,0.7091061777333136,0.5021251924542844,0.37980214300023574,0.33501448568957115
4,https://www.theguardian.com/politics/2018/sep/22/anti-brexit-group-aims-to-win-mps-backing-for-second-referendum,624,0.018,0.85,0.132,0.9968,0.4251941176470587,0.9936305246937238,0.9894512085338512,0.969317897052341,0.9412970552347926,0.9239124572309875
7,https://www.theguardian.com/politics/2018/sep/22/labour-conference-what-to-expect-liverpool-brexit,1029,0.039,0.82,0.142,0.9989,0.4228875,0.9978036220322578,0.9963473847553747,0.9891606428713458,0.9786662881348677,0.9718528155764333
6,https://www.theguardian.com/politics/2018/sep/22/john-mcdonnell-labour-wants-to-push-ahead-with-brexit,1088,0.059,0.831,0.11,0.9962,0.1923264705882353,0.9924429933532041,0.9874991419867785,0.9638423685413263,0.9313430503938637,0.9114184699008678
9,https://www.theguardian.com/politics/2018/sep/21/ukip-faces-utter-marginalisation-if-it-embraces-hard-right-says-nigel-farage,808,0.086,0.833,0.082,-0.9099,-0.09689230769230768,-0.8404553937399402,-0.7685874624893233,-0.56994254281334,-0.44035427399647975,-0.39095198641614676
8,https://www.theguardian.com/politics/2018/sep/22/cities-are-now-labour-heartland-as-traditional-working-class-desert,647,0.055,0.768,0.177,0.9982,0.44128947368421056,0.9964096851387118,0.9940375150031469,0.9824256683293536,0.9657464891448752,0.955087697546511
